,0,1,2,3,4,5
Algorithm,DBSCAN,DBSCAN,DBSCAN,DBSCAN,DBSCAN,DBSCAN
Processing Method,Normalization,Normalization,Normalization,T+N,T+N,T+N
Subcluster Size,2,3,4,2,3,4
Silhouette Score,0.2255279503043874,0.2255279503043874,0.2255279503043874,0.2255279503043874,0.2255279503043874,0.2255279503043874
Calinski-Harabasz Score,41.44066898923708,41.44066898923708,41.44066898923708,41.44066898923708,41.44066898923708,41.44066898923708
Davies-Bouldin Score,3.0639795871275806,3.0639795871275806,3.0639795871275806,3.0639795871275806,3.0639795871275806,3.0639795871275806
