,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algorithm,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering,AgglomerativeClustering
Processing Method,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
Subcluster Size,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4
Silhouette Score,0.6587292996216916,0.5644796401732074,0.560672694839427,0.29666794582183303,0.29482906321585417,0.2487033207546734,0.2670131771272231,0.2774439826952266,0.22583665933475802,0.6590718062960336,0.5649842648306251,0.5608725043300972,0.29666794582183303,0.29482906321585417,0.2487033207546734,0.46341196944032326,0.4596281708499888,0.36360150847620326
Calinski-Harabasz Score,483.1128599196659,552.851711505718,670.6259906052811,75.7500044236631,81.32763860672199,63.51486945880699,65.36083820586111,67.6474675044098,51.46414629882825,483.4215213583908,553.1535508536514,670.8529048151202,75.7500044236631,81.32763860672199,63.51486945880699,178.38839394282564,203.2309158961551,120.03070413534188
Davies-Bouldin Score,0.45861673032676664,0.5357343073560213,0.553573950022723,1.2463576072367484,1.3183111453428589,1.7528702791091593,1.4117573895082869,1.4185919431857326,1.7886506143765981,0.4582739648091033,0.5350994291264386,0.5533734563073796,1.2463576072367484,1.3183111453428589,1.7528702791091593,0.8342110479674598,0.8202164596219528,1.292469800519739
